,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
25.35,-4.279450696,-7.907928576,-0.650972816,-8.8487204,-12.56528547,-5.132155331,-8.655465731,-14.34889495,-2.962036516,-10.25463804,-16.19499248,-4.314283601
25.3,-2.417464533,-4.826553796,-0.008375271,-5.516994784,-8.509191847,-2.524797721,-9.788711594,-16.00142639,-3.5759968,-12.3959789,-19.23359223,-5.558365567
25.25,-2.34006392,-5.121439933,0.441312093,-9.767704956,-13.97792812,-5.557481793,-15.04220371,-21.52854129,-8.555866137,-20.3361504,-27.25335379,-13.418947
25.2,-4.567625998,-7.295979041,-1.839272955,-9.517164977,-12.83012331,-6.204206642,-16.13971723,-22.93336435,-9.346070113,-19.98897244,-27.27116402,-12.70678086
25.15,-2.67924178,-4.931758152,-0.426725408,-6.809252851,-9.696762387,-3.921743316,-9.748315559,-15.10771449,-4.388916627,-10.75413422,-17.33001262,-4.178255817
25.1,-3.313517575,-6.146384963,-0.480650187,-7.182099486,-10.73681718,-3.627381793,-13.51704219,-21.11658122,-5.917503162,-15.55057505,-23.65964681,-7.441503296
25.05,-5.492345829,-9.58710578,-1.397585878,-6.042307686,-9.42335179,-2.661263581,-13.16683413,-18.5865119,-7.747156364,-14.34650096,-20.98514723,-7.707854695
25,-6.236798078,-10.85674973,-1.616846426,-14.09984201,-18.67949217,-9.520191845,-18.88162722,-25.84687811,-11.91637634,-18.29072238,-25.60792635,-10.97351842
24.95,-7.36655995,-11.72411008,-3.009009818,-11.42384621,-16.00880398,-6.838888437,-14.55057839,-22.10921431,-6.991942476,-11.29182749,-18.35346557,-4.230189411
24.9,-7.470037407,-12.92198616,-2.018088656,-10.92577647,-16.09616282,-5.755390112,-13.17554715,-20.02097233,-6.330121968,-7.897159386,-15.60235662,-0.191962154
24.85,-1.523425232,-4.49235594,1.445505477,-12.40793753,-17.41965986,-7.39621521,-11.88622532,-19.40221044,-4.370240194,-15.46534182,-24.07266746,-6.85801617
24.8,-2.133678418,-5.335425107,1.068068271,-10.03982256,-13.67197449,-6.40767064,-13.62199337,-19.10839275,-8.135593981,-14.05352661,-20.08902541,-8.018027814
24.75,-5.683753987,-9.38537182,-1.982136153,-9.121445129,-13.22118506,-5.0217052,-16.14170149,-22.70129354,-9.582109441,-19.5543428,-26.32611388,-12.78257173
24.7,-4.96765746,-8.546897048,-1.388417872,-6.399047705,-10.4411139,-2.356981514,-11.3545652,-17.68138454,-5.027745873,-10.03163862,-17.14121897,-2.922058263
24.65,-5.816668559,-9.591167981,-2.042169138,-7.14871796,-11.13956508,-3.157870842,-12.94908043,-20.15260509,-5.745555771,-12.55861022,-21.34350389,-3.773716539
24.6,-7.163615864,-10.84623836,-3.480993362,-9.5276243,-13.16286777,-5.892380832,-15.04487521,-21.53775509,-8.551995335,-12.77473822,-19.2970396,-6.252436844
24.55,-5.737242531,-9.118282094,-2.356202968,-7.637531636,-11.10306482,-4.171998452,-10.28063205,-16.01274887,-4.548515221,-12.2404452,-18.78683085,-5.694059542
24.5,-4.777079561,-7.865576412,-1.68858271,-6.292937899,-9.860244033,-2.725631764,-11.71086764,-18.73063303,-4.691102255,-14.86948748,-23.730558,-6.008416951
24.45,-6.757682567,-9.990884793,-3.524480341,-10.81812192,-15.21796006,-6.418283786,-16.67581613,-23.9486972,-9.402935049,-13.38114724,-20.35605969,-6.406234792
24.4,-5.560472996,-8.690337581,-2.430608412,-6.660428455,-10.08601245,-3.234844465,-8.536341429,-13.54099679,-3.531686069,-12.37362254,-18.62184999,-6.125395097
24.35,-13.20029864,-18.27740403,-8.123193247,-13.9938835,-18.91902224,-9.06874476,-22.22910667,-29.88205446,-14.57615889,-18.96416586,-26.58678757,-11.34154416
24.3,-8.805620918,-12.80835618,-4.802885652,-11.76062516,-16.20559856,-7.315651752,-15.06202416,-21.4191717,-8.704876612,-14.99499378,-21.42466628,-8.565321286
24.25,-7.644572245,-11.26480998,-4.024334515,-8.744061214,-12.09518053,-5.392941896,-11.18494875,-16.52412603,-5.845771473,-13.53498053,-19.79826928,-7.271691788
24.2,-6.272713878,-9.084900045,-3.460527712,-9.195992055,-12.69403443,-5.697949678,-11.71618296,-16.45005132,-6.982314597,-13.60201171,-18.54013347,-8.663889957
24.15,-7.909873036,-11.05949376,-4.760252313,-9.873580742,-13.23922558,-6.507935906,-17.97307545,-23.77687764,-12.16927326,-17.31261213,-23.42139513,-11.20382913
24.1,-5.979894886,-9.212992919,-2.746796853,-8.701025592,-12.28844447,-5.11360671,-10.10139935,-15.07368236,-5.129116339,-13.51206038,-19.64296994,-7.381150813
24.05,-8.686239979,-11.941387,-5.431092956,-10.7655379,-13.95836506,-7.572710733,-13.99958796,-19.19679573,-8.802380196,-14.33133169,-20.34694089,-8.315722499
24,-4.729346632,-7.448981914,-2.00971135,-6.005354362,-8.840462351,-3.170246372,-6.996151915,-11.81098416,-2.181319669,-7.341291001,-12.59559535,-2.08698665
23.95,-6.922506497,-10.64239923,-3.202613759,-8.668714904,-12.15522146,-5.182208351,-11.42349738,-16.7890558,-6.057938965,-13.04967448,-18.69066532,-7.408683642
23.9,-6.196573771,-9.15804021,-3.235107331,-9.60463963,-12.43693567,-6.772343589,-11.10276048,-14.81229132,-7.393229636,-8.712726761,-12.91677028,-4.508683242
23.85,-4.099977613,-6.508136581,-1.691818644,-5.508767083,-8.254002702,-2.763531464,-5.975223499,-10.2138602,-1.736586798,-8.704342053,-13.55680067,-3.85188344
