,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
23.9,1.650101682,-2.748114654,6.048318019,-7.997784558,-13.90709087,-2.08847825,-4.795534876,-13.10153061,3.510460858,-3.97572089,-13.21367142,5.262229645
23.85,3.109062061,-1.004863331,7.222987452,-5.380818431,-11.27904888,0.517412018,-2.676635981,-10.84966537,5.496393407,-0.668169751,-11.09212315,9.755783654
23.8,-1.348429353,-5.289311337,2.592452632,-8.497361223,-14.01450722,-2.980215222,-6.581012466,-14.50807617,1.346051234,-3.203582508,-12.36140929,5.954244275
23.75,-4.907120895,-8.985866858,-0.828374931,-10.79592163,-16.88947886,-4.702364401,-10.79080894,-19.26882352,-2.312794361,-4.130874222,-12.69104828,4.429299832
23.7,-0.348082425,-4.405990913,3.709826063,-8.760848156,-15.81348796,-1.708208356,-4.183396252,-12.36807598,4.001283477,3.567264911,-5.85293407,12.98746389
23.65,2.373049004,-1.188975763,5.935073771,-8.497553307,-14.41931652,-2.575790092,-5.445553256,-13.48531672,2.594210205,-6.144291731,-15.01882731,2.730243846
23.6,-1.080369719,-3.914513178,1.753773739,-9.794401715,-15.24923307,-4.339570361,-11.40842663,-19.23419409,-3.582659178,-12.88572777,-22.50200018,-3.269455354
23.55,-2.9536709,-6.589329478,0.681987677,-5.34344868,-10.61240765,-0.074489709,-11.48973453,-18.14651732,-4.832951745,-12.50799381,-20.55217195,-4.463815658
23.5,-0.746507922,-3.826288389,2.333272545,-6.592063537,-11.35986254,-1.824264532,-4.13770928,-11.17742782,2.902009261,3.32138875,-4.368555144,11.01133264
23.45,1.72755125,-1.617661381,5.072763881,-2.231053318,-8.173298945,3.711192308,6.828199184,0.171715354,13.48468301,6.42176398,-0.930443741,13.7739717
23.4,-2.305732864,-6.108050793,1.496585064,-5.394439369,-11.67746874,0.888589997,-5.3254401,-12.61725647,1.966376268,2.429361356,-5.74816853,10.60689124
23.35,-3.124355445,-7.211333395,0.962622506,-8.038820963,-13.99047079,-2.087171137,-10.89671581,-19.67934665,-2.114084966,-13.08468021,-23.46210485,-2.707255567
23.3,0.813128565,-2.689682388,4.315939519,-4.624708942,-11.31554082,2.066122936,-0.210449229,-8.686597806,8.265699348,-2.31860506,-10.64992865,6.012718531
